Date,Forecast_Qty,Forecast_Revenue
2017-08-01,735655.0,18318378748.0
2017-09-01,721037.0,18683410029.0
2017-10-01,759902.0,19080496931.0
2017-11-01,846274.0,19990809652.0
2017-12-01,1043713.0,23535180360.0
2018-01-01,801671.0,19851469129.0
2018-02-01,745035.0,19424657222.0
2018-03-01,827046.0,20778223049.0
2018-04-01,764517.0,20352295226.0
2018-05-01,825005.0,21985019817.0
2018-06-01,893462.0,24592765035.0
2018-07-01,1000898.0,26822964180.0
